,fsq_id,categories,chains,distance,link,name,timezone,geocodes.drop_off.latitude,geocodes.drop_off.longitude,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,location.address_extended,related_places.children,related_places.parent.fsq_id,related_places.parent.name
181,4ae338e1f964a520e39121e3,"[{'id': 13025, 'name': 'Wine Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}, {'id': 13027, 'name': 'Bistro', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13148, 'name': 'French Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/french_', 'suffix': '.png'}}]",[],433,/v3/places/4ae338e1f964a520e39121e3,Le Select Bistro,America/Toronto,,,43.643777,-79.39683,43.643777,-79.39683,432 Wellington St W,CA,at Spadina Ave,"432 Wellington St W (at Spadina Ave), Toronto ON M5V 1E3",Toronto,M5V 1E3,ON,,,,
182,4ad4c05ef964a52096f620e3,"[{'id': 16007, 'name': 'Structure', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",[],776,/v3/places/4ad4c05ef964a52096f620e3,CN Tower,America/Toronto,,,43.642593,-79.38709,43.642569,-79.387196,301 Front St W,CA,at John St,"301 Front St W (at John St), Toronto ON M5V 2T6",Toronto,M5V 2T6,ON,Frnt O,"[{'fsq_id': '4ff45283e4b0aeae9d3ae866', 'name': 'Sky Pod'}, {'fsq_id': '4ad4c05cf964a520dff520e3', 'name': '360 Restaurant'}, {'fsq_id': '58f8165f6bd36b5411c96dd9', 'name': 'Glass Floor'}]",,
183,5dcda90cdac7db000833c20d,"[{'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}]",[],877,/v3/places/5dcda90cdac7db000833c20d,Birroteca,America/Toronto,,,43.669432,-79.38909,43.669432,-79.38909,55 Bloor St W,CA,,"55 Bloor St W, Toronto ON M4W 1A6",Toronto,M4W 1A6,ON,,,5b2d934e59c423002c0c6db6,Eataly Toronto
184,4ade455bf964a520837421e3,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13057, 'name': 'Gastropub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/gastropub_', 'suffix': '.png'}}]",[],723,/v3/places/4ade455bf964a520837421e3,Harbord House,America/Toronto,,,43.66245,-79.405607,43.66245,-79.405607,150 Harbord St,CA,,"150 Harbord St, Toronto ON M5S 1H2",Toronto,M5S 1H2,ON,,,,
185,5707bcb9498e709b544e20b2,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],688,/v3/places/5707bcb9498e709b544e20b2,Her Father's Cider Bar + Kitchen,America/Toronto,43.662553,-79.404602,43.662413,-79.404572,43.662413,-79.404572,119 Harbord St,CA,at Major St,"119 Harbord St (at Major St), Toronto ON M5S 1G7",Toronto,M5S 1G7,ON,,,,
186,57817461498e4ac40d24a6d6,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],763,/v3/places/57817461498e4ac40d24a6d6,Crafty Coyote,America/Toronto,,,43.665421,-79.408747,43.665421,-79.408747,511 Bloor St W,CA,Borden St.,"511 Bloor St W (Borden St.), Toronto ON M5S 1Y4",Toronto,M5S 1Y4,ON,,,,
187,4ad4c05ff964a52006f720e3,"[{'id': 13049, 'name': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}}, {'id': 13302, 'name': 'Mediterranean Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mediterranean_', 'suffix': '.png'}}, {'id': 13309, 'name': 'Middle Eastern Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/middleeastern_', 'suffix': '.png'}}]",[],669,/v3/places/4ad4c05ff964a52006f720e3,By the Way Cafe,America/Toronto,43.665885,-79.407646,43.666005,-79.407671,43.666005,-79.407671,400 Bloor St W,CA,,"400 Bloor St W, Toronto ON M5S 1X5",Toronto,M5S 1X5,ON,,,,
188,4ade974ef964a520717621e3,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",[],988,/v3/places/4ade974ef964a520717621e3,Pour House Irish Pub,America/Toronto,,,43.67566,-79.403834,43.67566,-79.403834,182 Dupont St,CA,at St. George St.,"182 Dupont St (at St. George St.), Toronto ON M5R 2E6",Toronto,M5R 2E6,ON,,,,
189,4b9c3602f964a520415536e3,"[{'id': 17058, 'name': 'Beer Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}]","[{'id': 'dca28a14-eb9f-44a7-a077-5a687d499af6', 'name': 'The Beer Store'}]",390,/v3/places/4b9c3602f964a520415536e3,Beer Store,America/Toronto,,,43.665413,-79.403461,43.665413,-79.403461,720 Spadina Ave,CA,Bloor St. W.,"720 Spadina Ave (Bloor St. W.), Toronto ON M5S 2T9",Toronto,M5S 2T9,ON,,,,
190,56bba613498ec1805b60a327,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",[],265,/v3/places/56bba613498ec1805b60a327,Brewhaha Craft Beer Lounge,America/Toronto,43.669363,-79.39732,43.669174,-79.39728,43.669174,-79.39728,39 Prince Arthur Ave,CA,,"39 Prince Arthur Ave, Toronto ON M5R 1B2",Toronto,M5R 1B2,ON,,,4ad90125f964a520071721e3,Duke of York
